サッポロ	札幌	北海道札幌市
ハコダテ	函館	北海道函館市
オタル	小樽	北海道小樽市
アサヒカワ	旭川	北海道旭川市
ムロラン	室蘭	北海道室蘭市
クシロ	釧路	北海道釧路市
オビヒロ	帯広	北海道帯広市
キタミ	北見	北海道北見市
ユウバリ	夕張	北海道夕張市
イワミザワ	岩見沢	北海道岩見沢市
アバシリ	網走	北海道網走市
ルモイ	留萌	北海道留萌市
トマコマイ	苫小牧	北海道苫小牧市
ワッカナイ	稚内	北海道稚内市
ビバイ	美唄	北海道美唄市
アシベツ	芦別	北海道芦別市
エベツ	江別	北海道江別市
アカビラ	赤平	北海道赤平市
モンベツ	紋別	北海道紋別市
シベツ	士別	北海道士別市
ナヨロ	名寄	北海道名寄市
ミカサ	三笠	北海道三笠市
ネムロ	根室	北海道根室市
チトセ	千歳	北海道千歳市
タキカワ	滝川	北海道滝川市
スナガワ	砂川	北海道砂川市
ウタシナイ	歌志内	北海道歌志内市
フカガワ	深川	北海道深川市
フラノ	富良野	北海道富良野市
ノボリベツ	登別	北海道登別市
エニワ	恵庭	北海道恵庭市
ダテ	伊達	北海道伊達市
キタヒロシマ	北広島	北海道北広島市
イシカリ	石狩	北海道石狩市
ホクト	北斗	北海道北斗市
トウベツ	当別	北海道当別町
シンシノツ	新篠津	北海道新篠津村
マツマエ	松前	北海道松前町
フクシマ	福島	北海道福島町
シリウチ	知内	北海道知内町
キコナイ	木古内	北海道木古内町
ナナエ	七飯	北海道七飯町
シカベ	鹿部	北海道鹿部町
モリ	森	北海道森町
ヤクモ	八雲	北海道八雲町
オシャマンベ	長万部	北海道長万部町
エサシ	江差	北海道江差町
カミノクニ	上ノ国	北海道上ノ国町
アッサブ	厚沢部	北海道厚沢部町
オトベ	乙部	北海道乙部町
オクシリ	奥尻	北海道奥尻町
イマカネ	今金	北海道今金町
セタナ	せたな	北海道せたな町
シママキ	島牧	北海道島牧村
スッツ	寿都	北海道寿都町
クロマツナイ	黒松内	北海道黒松内町
ランコシ	蘭越	北海道蘭越町
ニセコ	ニセコ	北海道ニセコ町
マッカリ	真狩	北海道真狩村
ルスツ	留寿都	北海道留寿都村
キモベツ	喜茂別	北海道喜茂別町
キョウゴク	京極	北海道京極町
クッチャン	倶知安	北海道倶知安町
キョウワ	共和	北海道共和町
イワナイ	岩内	北海道岩内町
トマリ	泊	北海道泊村
カモエナイ	神恵内	北海道神恵内村
シャコタン	積丹	北海道積丹町
フルビラ	古平	北海道古平町
ニキ	仁木	北海道仁木町
ヨイチ	余市	北海道余市町
アカイガワ	赤井川	北海道赤井川村
ナンポロ	南幌	北海道南幌町
ナイエ	奈井江	北海道奈井江町
カミスナガワ	上砂川	北海道上砂川町
ユニ	由仁	北海道由仁町
ナガヌマ	長沼	北海道長沼町
クリヤマ	栗山	北海道栗山町
ツキガタ	月形	北海道月形町
ウラウス	浦臼	北海道浦臼町
シントツカワ	新十津川	北海道新十津川町
モセウシ	妹背牛	北海道妹背牛町
チップベツ	秩父別	北海道秩父別町
ウリュウ	雨竜	北海道雨竜町
ホクリュウ	北竜	北海道北竜町
ヌマタ	沼田	北海道沼田町
タカス	鷹栖	北海道鷹栖町
ヒガシカグラ	東神楽	北海道東神楽町
トウマ	当麻	北海道当麻町
ピップ	比布	北海道比布町
アイベツ	愛別	北海道愛別町
カミカワ	上川	北海道上川町
ヒガシカワ	東川	北海道東川町
ビエイ	美瑛	北海道美瑛町
カミフラノ	上富良野	北海道上富良野町
ナカフラノ	中富良野	北海道中富良野町
ミナミフラノ	南富良野	北海道南富良野町
シムカップ	占冠	北海道占冠村
ワッサム	和寒	北海道和寒町
ケンブチ	剣淵	北海道剣淵町
シモカワ	下川	北海道下川町
ビフカ	美深	北海道美深町
オトイネップ	音威子府	北海道音威子府村
ナカガワ	中川	北海道中川町
ホロカナイ	幌加内	北海道幌加内町
マシケ	増毛	北海道増毛町
オビラ	小平	北海道小平町
トママエ	苫前	北海道苫前町
ハボロ	羽幌	北海道羽幌町
ショサンベツ	初山別	北海道初山別村
エンベツ	遠別	北海道遠別町
テシオ	天塩	北海道天塩町
サルフツ	猿払	北海道猿払村
ハマトンベツ	浜頓別	北海道浜頓別町
ナカトンベツ	中頓別	北海道中頓別町
エサシ	枝幸	北海道枝幸町
トヨトミ	豊富	北海道豊富町
レブン	礼文	北海道礼文町
リシリ	利尻	北海道利尻町
リシリフジ	利尻富士	北海道利尻富士町
ホロノベ	幌延	北海道幌延町
ビホロ	美幌	北海道美幌町
ツベツ	津別	北海道津別町
シャリ	斜里	北海道斜里町
キヨサト	清里	北海道清里町
コシミズ	小清水	北海道小清水町
クンネップ	訓子府	北海道訓子府町
オケト	置戸	北海道置戸町
サロマ	佐呂間	北海道佐呂間町
エンガル	遠軽	北海道遠軽町
ユウベツ	湧別	北海道湧別町
タキノウエ	滝上	北海道滝上町
オコッペ	興部	北海道興部町
ニシオコッペ	西興部	北海道西興部村
オウム	雄武	北海道雄武町
オオゾラ	大空	北海道大空町
トヨウラ	豊浦	北海道豊浦町
ソウベツ	壮瞥	北海道壮瞥町
シラオイ	白老	北海道白老町
アツマ	厚真	北海道厚真町
トウヤコ	洞爺湖	北海道洞爺湖町
アビラ	安平	北海道安平町
ムカワ	むかわ	北海道むかわ町
ヒダカ	日高	北海道日高町
ビラトリ	平取	北海道平取町
ニイカップ	新冠	北海道新冠町
ウラカワ	浦河	北海道浦河町
サマニ	様似	北海道様似町
エリモ	えりも	北海道えりも町
シンヒダカ	新ひだか	北海道新ひだか町
オトフケ	音更	北海道音更町
シホロ	士幌	北海道士幌町
カミシホロ	上士幌	北海道上士幌町
シカオイ	鹿追	北海道鹿追町
シントク	新得	北海道新得町
シミズ	清水	北海道清水町
メムロ	芽室	北海道芽室町
ナカサツナイ	中札内	北海道中札内村
サラベツ	更別	北海道更別村
タイキ	大樹	北海道大樹町
ヒロオ	広尾	北海道広尾町
マクベツ	幕別	北海道幕別町
イケダ	池田	北海道池田町
トヨコロ	豊頃	北海道豊頃町
ホンベツ	本別	北海道本別町
アショロ	足寄	北海道足寄町
リクベツ	陸別	北海道陸別町
ウラホロ	浦幌	北海道浦幌町
クシロ	釧路	北海道釧路町
アッケシ	厚岸	北海道厚岸町
ハマナカ	浜中	北海道浜中町
シベチャ	標茶	北海道標茶町
テシカガ	弟子屈	北海道弟子屈町
ツルイ	鶴居	北海道鶴居村
シラヌカ	白糠	北海道白糠町
ベツカイ	別海	北海道別海町
ナカシベツ	中標津	北海道中標津町
シベツ	標津	北海道標津町
ラウス	羅臼	北海道羅臼町
アオモリ	青森	青森県青森市
ヒロサキ	弘前	青森県弘前市
ハチノヘ	八戸	青森県八戸市
クロイシ	黒石	青森県黒石市
ゴショガワラ	五所川原	青森県五所川原市
トワダ	十和田	青森県十和田市
ミサワ	三沢	青森県三沢市
ムツ	むつ	青森県むつ市
ツガル	つがる	青森県つがる市
ヒラカワ	平川	青森県平川市
ヒラナイ	平内	青森県平内町
イマベツ	今別	青森県今別町
ヨモギタ	蓬田	青森県蓬田村
ソトガハマ	外ヶ浜	青森県外ヶ浜町
アジガサワ	鰺ヶ沢	青森県鰺ヶ沢町
フカウラ	深浦	青森県深浦町
ニシメヤ	西目屋	青森県西目屋村
フジサキ	藤崎	青森県藤崎町
オオワニ	大鰐	青森県大鰐町
イナカダテ	田舎館	青森県田舎館村
イタヤナギ	板柳	青森県板柳町
ツルタ	鶴田	青森県鶴田町
ナカドマリ	中泊	青森県中泊町
ノヘジ	野辺地	青森県野辺地町
シチノヘ	七戸	青森県七戸町
ロクノヘ	六戸	青森県六戸町
ヨコハマ	横浜	青森県横浜町
トウホク	東北	青森県東北町
ロッカショ	六ヶ所	青森県六ヶ所村
オイラセ	おいらせ	青森県おいらせ町
オオマ	大間	青森県大間町
ヒガシドオリ	東通	青森県東通村
カザマウラ	風間浦	青森県風間浦村
サイ	佐井	青森県佐井村
サンノヘ	三戸	青森県三戸町
ゴノヘ	五戸	青森県五戸町
タッコ	田子	青森県田子町
ナンブ	南部	青森県南部町
ハシカミ	階上	青森県階上町
シンゴウ	新郷	青森県新郷村
モリオカ	盛岡	岩手県盛岡市
ミヤコ	宮古	岩手県宮古市
オオフナト	大船渡	岩手県大船渡市
ハナマキ	花巻	岩手県花巻市
キタカミ	北上	岩手県北上市
クジ	久慈	岩手県久慈市
トオノ	遠野	岩手県遠野市
イチノセキ	一関	岩手県一関市
リクゼンタカタ	陸前高田	岩手県陸前高田市
カマイシ	釜石	岩手県釜石市
ニノヘ	二戸	岩手県二戸市
ハチマンタイ	八幡平	岩手県八幡平市
オウシュウ	奥州	岩手県奥州市
タキザワ	滝沢	岩手県滝沢市
シズクイシ	雫石	岩手県雫石町
クズマキ	葛巻	岩手県葛巻町
イワテ	岩手	岩手県岩手町
シワ	紫波	岩手県紫波町
ヤハバ	矢巾	岩手県矢巾町
ニシワガ	西和賀	岩手県西和賀町
カネガサキ	金ケ崎	岩手県金ケ崎町
ヒライズミ	平泉	岩手県平泉町
スミタ	住田	岩手県住田町
オオツチ	大槌	岩手県大槌町
ヤマダ	山田	岩手県山田町
イワイズミ	岩泉	岩手県岩泉町
タノハタ	田野畑	岩手県田野畑村
フダイ	普代	岩手県普代村
カルマイ	軽米	岩手県軽米町
ノダ	野田	岩手県野田村
クノヘ	九戸	岩手県九戸村
ヒロノ	洋野	岩手県洋野町
イチノヘ	一戸	岩手県一戸町
センダイ	仙台	宮城県仙台市
イシノマキ	石巻	宮城県石巻市
シオガマ	塩竈	宮城県塩竈市
ケセンヌマ	気仙沼	宮城県気仙沼市
シロイシ	白石	宮城県白石市
ナトリ	名取	宮城県名取市
カクダ	角田	宮城県角田市
タガジョウ	多賀城	宮城県多賀城市
イワヌマ	岩沼	宮城県岩沼市
トメ	登米	宮城県登米市
クリハラ	栗原	宮城県栗原市
ヒガシマツシマ	東松島	宮城県東松島市
オオサキ	大崎	宮城県大崎市
トミヤ	富谷	宮城県富谷市
ザオウ	蔵王	宮城県蔵王町
シチカシュク	七ヶ宿	宮城県七ヶ宿町
オオガワラ	大河原	宮城県大河原町
ムラタ	村田	宮城県村田町
シバタ	柴田	宮城県柴田町
カワサキ	川崎	宮城県川崎町
マルモリ	丸森	宮城県丸森町
ワタリ	亘理	宮城県亘理町
ヤマモト	山元	宮城県山元町
マツシマ	松島	宮城県松島町
